TARS_ROV_NEV;TARS_HOSZ_NEV;CIM_EGYBEN;TARS_TIPUS_MEGNEV;TARS_TIPUS_KOD;ADOSZAM;GAZD_FORM;GAZD_FORM_KOD;CEGALL;CEGALL_KOD;NEMGAZD_AG_MEGNEV;NEMGAZD_AG_KOD;NEMGAZD_AGAZAT_MEGNEV;NEMGAZD_AGAZAT_KOD;NEMGAZD_SZAKAGAZAT_MEGNEV;NEMGAZD_SZAKAGAZAT_KOD;JEGYZ_TOKE_ERT_HUF ;ORSZAG;ORSZAG_KOD;REGIO;REGIO_KOD;MEGYE;MEGYE_KOD ;TELEPULES;TELEPULES_KOD;ASZ_EVE
MÉLYÉPTERV F.A.;Mélyépítési Tervező Vállalat felszámolás alatt;1053 Budapest, Múzeum krt. 1/b.;Gazdasági Társaság;1;10005972-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;159350000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
MÉLYÉPTERV F.A.;Mélyépítési Tervező Vállalat felszámolás alatt;1053 Budapest Múzeum körút 1/b.;Gazdasági Társaság;1;10005972-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;159350000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
MÉLYÉPTERV F.A.;Mélyépítési Tervező Vállalat felszámolás alatt;1053 Budapest, Múzeum körút 1/b.;Gazdasági Társaság;1;10005972-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;159350000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
MÉLYÉPTERV F.A.;Mélyépítési Tervező Vállalat felszámolás alatt;1053 Budapest, Múzeum körút 1/b.;Gazdasági Társaság;1;10005972-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;159350000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
MÉLYÉPTERV F.A.;Mélyépítési Tervező Vállalat felszámolás alatt;1053 Budapest Múzeum körút 1/b.;Gazdasági Társaság;1;10005972-2-41;Állami Vállalat;3;Felszámolás alatt;1;Szakmai, tudományos, műszaki tevékenység;M;Üzletvezetési, vezetői tanácsadás;70;Üzletviteli, egyéb vezetési tanácsadás;7022;159350000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2014
VÁV felszámolás alatt;Villamos Állomásszerelő Vállalat felszámolás alatt;1135 Budapest XIII, Csata utca 8.;Gazdasági Társaság;1;10191268-2-41;Állami Vállalat;3;Felszámolás alatt;1;Feldolgozóipar;C;Villamos berendezés gyártása;27;Áramelosztó, -szabályozó készülék gyártása;2712;932841000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
VÁV felszámolás alatt;Villamos Állomásszerelő Vállalat felszámolás alatt;1135 Budapest XIII, Csata utca 8.;Gazdasági Társaság;1;10191268-2-41;Állami Vállalat;3;Felszámolás alatt;1;Feldolgozóipar;C;Villamos berendezés gyártása;27;Áramelosztó, -szabályozó készülék gyártása;2712;932841000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
VÁV felszámolás alatt;Villamos Állomásszerelő Vállalat f.a.;1135 Budapest, Csata u. 8.;Gazdasági Társaság;1;10191268-2-41;Állami Vállalat;3;Felszámolás alatt;1;Feldolgozóipar;C;Villamos berendezés gyártása;27;Áramelosztó, -szabályozó készülék gyártása;2712;932841000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
DUNABAU 43.;DUNABAU 43. Általános Épitő Vállalat Felszámolás alatt;1045 Budapest, Chinoin u. 20.;Gazdasági Társaság;1;10005305-2-41;Állami Vállalat;3;Felszámolás alatt;1;Építőipar;F;Speciális szaképítés;43;Egyéb speciális szaképítés m.n.s.;4399;267994000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
DUNABAU 43. f.a.;DUNABAU 43. Általános Épitő Vállalat Felszámolás alatt;1045 Budapest IV, Chinoin utca 20.;Gazdasági Társaság;1;10005305-2-41;Állami Vállalat;3;Felszámolás alatt;1;Építőipar;F;Speciális szaképítés;43;Egyéb speciális szaképítés m.n.s.;4399;267994000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2013
DUNABAU 43.;DUNABAU 43. Általános Építő Vállalat f.a.;1045 Budapest, Chinoin u. 20.;Gazdasági Társaság;1;10005305-2-41;Állami Vállalat;3;Felszámolás alatt;1;Építőipar;F;Speciális szaképítés;43;Egyéb speciális szaképítés m.n.s.;4399;267994000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2010
DUNABAU 43.;DUNABAU 43. Általános Épitő Vállalat Felszámolás alatt;1045 Budapest IV, Chinoin utca 20.;Gazdasági Társaság;1;10005305-2-41;Állami Vállalat;3;Felszámolás alatt;1;Építőipar;F;Speciális szaképítés;43;Egyéb speciális szaképítés m.n.s.;4399;267994000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
TÉKA Könyvértékesitő és Könyvkiadó Vállalat /Felszámolás alatt /;TÉKA Könyvértékesitő és Könyvkiadó Vállalat /Felszámolás alatt /;1134 Budapest Váci út 19.;Gazdasági Társaság;1;10013319-2-41;Állami Vállalat;3;Felszámolás alatt;1;Kereskedelem, gépjárműjavítás;G;Nagykereskedelem (kivéve: jármű, motorkerékpár);46;Vegyestermékkörű nagykereskedelem;4690;551882000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2016
TÉKA Könyvértékesitő és Könyvkiadó Vállalat /Felszámolás alatt /;TÉKA Könyvértékesitő és Könyvkiadó Vállalat /Felszámolás alatt /;1134 Budapest, Váci út 19.;Gazdasági Társaság;1;10013319-2-41;Állami Vállalat;3;Felszámolás alatt;1;Kereskedelem, gépjárműjavítás;G;Nagykereskedelem (kivéve: jármű, motorkerékpár);46;Vegyestermékkörű nagykereskedelem;4690;551882000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2011
TÉKA Könyvértékesitő és Könyvkiadó Vállalat /Felszámolás alatt /;TÉKA Könyvértékesitő és Könyvkiadó Vállalat /Felszámolás alatt /;1134 Budapest XIII, Váci út 19.;Gazdasági Társaság;1;10013319-2-41;Állami Vállalat;3;Felszámolás alatt;1;Kereskedelem, gépjárműjavítás;G;Nagykereskedelem (kivéve: jármű, motorkerékpár);46;Vegyestermékkörű nagykereskedelem;4690;551882000.00;Magyarország;HU;Közép-Magyarország régió;6;Budapest;1;Budapest;60;2012
